ProgrammingLanguageName	QueryID	PairID	QueryText	CommentText	SimilarityScore
PHP	71	71_getModelInfo_	ispis pregleda modela	Vraca informaciju o modelu sa datim indeksom.	2
PHP	71	71_updateModel	ispis pregleda modela	Azurira model sa dve nove vrednosti.	1
PHP	71	71_summarizeModel	ispis pregleda modela	Vraca opise modela neuralne mreze.	2
PHP	71	71_printModelSummary	ispis pregleda modela	Ispisuje pregled modela.	3
PHP	71	71_injectCertificate	ispis pregleda modela	Ubacivanje digitalnog sertifikata u sigurno sklafiste.	0
PHP	71	71_printModelAttribute	ispis pregleda modela	Ispis pregleda atributa.	1
PHP	72	72_deleteUniqueElements	jedinstveni elementi	Brisanje jedinstvenih elemenata liste.	3
PHP	72	72_findAllElements	jedinstveni elementi	Vraca sve elemente liste.	1
PHP	72	72_findUniqueElements	jedinstveni elementi	Vraca listu elemenata koji su jedinstveni.	3
PHP	72	72_gatherFiveUniqueElements	jedinstveni elementi	Vraca listu od maksimum 5 jedinstvenih elemenata.	2
PHP	72	72_getSimilarElements	jedinstveni elementi	Vraca listu slicnih elemenata.	1
PHP	72	72_increasePrice	jedinstveni elementi	Povecaj cenu za odredjeni procenat	0
PHP	72	72_updateId	jedinstveni elementi	Azuriraj identifikator	0
PHP	73	73_getHtmlElementById	ekstrakcija podataka iz html sadrzaja	Vraca html element dat identifikatorom. Proverava se validnost identifikatora	3
PHP	73	73_getHtmlInfo	ekstrakcija podataka iz html sadrzaja	Vraca html info element	3
PHP	73	73_getHtmlMetadata	ekstrakcija podataka iz html sadrzaja	"Vraca html metadata ukljucujuci naslov, vreme kreiranja i velicinu fajla"	3
PHP	73	73_getWebElement	ekstrakcija podataka iz html sadrzaja	Vraca web element	1
PHP	73	73_playMusic	ekstrakcija podataka iz html sadrzaja	Pusta muziku	0
PHP	73	73_getHeader1	ekstrakcija podataka iz html sadrzaja	Ekstrakcija h1 html elementa na kog se prvo naidje	3
PHP	73	73_getHtmlBody	ekstrakcija podataka iz html sadrzaja	Ekstrakcija body html elementa i ispis rezultata	3
PHP	74	74_changeMapName	toplotna mapa 3D koordinata	Promena imena toplotne map	1
PHP	74	74_formHeatMapFrom3D	toplotna mapa 3D koordinata	Pravljenje toplotne mape od 3D koordinata	3
PHP	74	74_generateHeatMap	toplotna mapa 3D koordinata	Pravljenje toplotne mape	3
PHP	74	74_populate	toplotna mapa 3D koordinata	Popunjava niza random podacima	0
PHP	74	74_updateHeatMap	toplotna mapa 3D koordinata	Azuriranje toplotne mape sa novim unosom koordinate	2
PHP	74	74_3dCoordinatesToMap	toplotna mapa 3D koordinata	Mapiranje 3d koordinata	3
PHP	75	75_getAllXmlNodes	uzeti sve roditelje od xml cvora	Uzeti sve xml cvorove	1
PHP	75	75_getMaximumValue	uzeti sve roditelje od xml cvora	Dobiti maksimalnu vrednost iz niza	0
PHP	75	75_getMinimumValue	uzeti sve roditelje od xml cvora	Dobiti minimum vrednost iz niza	0
PHP	75	75_getNodeDescription	uzeti sve roditelje od xml cvora	Prikazi xml cvor	1
PHP	75	75_getParentNode	uzeti sve roditelje od xml cvora	Uzeti roditeljski cvor od cvora sa nodeId	2
PHP	75	75_updateXmlParentNode	uzeti sve roditelje od xml cvora	Azurirati ime roditelja cvora sa nodeId	2
PHP	75	75_getAllParentNodes	uzeti sve roditelje od xml cvora	Uzeti sve roditelje xml cvora sa identifikatorom nodeId	3
PHP	76	76_extractData	kako ekstraktovati zip fajl rekurzivno	Ekstrakcija podataka iz cvora	0
PHP	76	76_extractZipFile	kako ekstraktovati zip fajl rekurzivno	Ekstrakcija zip fajla	2
PHP	76	76_extractZipFileRecursively	kako ekstraktovati zip fajl rekurzivno	Ekstrakcija zip fajla rekurzivno	3
PHP	76	76_getFilesFromZip	kako ekstraktovati zip fajl rekurzivno	Dobijanje fajlova iz zip arhive	2
PHP	76	76_openZipFile	kako ekstraktovati zip fajl rekurzivno	Otvoriti zip arhivu	2
PHP	76	76_checkIfZip	kako ekstraktovati zip fajl rekurzivno	Proveriti da li je fajl zip formata	1
PHP	77	77_getWidgetName	podvuci tekst u nazivu vidzeta	Vraca ime vidzeta	2
PHP	77	77_removeCertificate	podvuci tekst u nazivu vidzeta	Izbaci sertifikat iz list sertifikata	0
