ProgrammingLanguageName	QueryID	PairID	QueryText	CommentText	SimilarityScore
PHP	1	1_buildQuery	upit	Pravi upit od niza podataka.	3
PHP	1	1_classRequest	upit	Klasa koja enkapsulira sve parametre http \n zahteva medju kojima se nalazi i upit.	2
PHP	1	1_decodeUrl	upit	Vraca upit parametar iz url http zahteva.	3
PHP	1	1_laravelQuery	upit	Ispisuje na izlazu upit koji je prosledjen kao \n deo URL-a.	2
PHP	1	1_parseFromString	upit	Parsiranje stringa da bi se dobio upit.	2
PHP	1	1_parseQueryFromUrl	upit	Parsira url i pronalazi upit.	2
PHP	1	1_requestFactory	upit	"Svrha ove klase je da enkapsulira sve parametre jednog \n http zahteva medju kojima su fajlovi, telo zahteva, \n upit itd"	2
PHP	1	1_viewQuery	upit	Vraca pogled koji sadrzi u sebi upit.	2
PHP	2	2_convertIntToString	konvertuj decimalnu vrednost u string	Funkcija koja se koristi da bi \n decimalnu vrednost broja konvertovali u string.	2
PHP	2	2_convertIntToString1	konvertuj decimalnu vrednost u string	Funkcija koja se koristi da bi se \n dve decimalne vrednosti konvertovale \n u stringove i zatim nadovezale jedna na drugu.	2
PHP	2	2_convertIntToString2	konvertuj decimalnu vrednost u string	Funkcija koja se koristi da bi se \n tri decimalne vrednosti konvertovale \n u stringove i zatim nadovezale.	2
PHP	2	2_convertIntToString3	konvertuj decimalnu vrednost u string	Funkcija koja se koristi da bi se \n decimalna vrednost konvertovala u string.	2
PHP	2	2_convertIntToString4	konvertuj decimalnu vrednost u string	Funkcija koja od dve decimalne vrednosti \n pravi stringove i zatim ih nadovezuje i ispisuje na izlazu.	1
PHP	2	2_convertIntToString5	konvertuj decimalnu vrednost u string	Uradi obradu konverzije decimalnog broja u string.	2
PHP	2	2_convertIntToString6	konvertuj decimalnu vrednost u string	Pretvaranje celih brojeva.	0
PHP	2	2_convertIntToString7	konvertuj decimalnu vrednost u string	Pretvaranje brojeva u stringove.	1
PHP	2	2_convertIntToString8	konvertuj decimalnu vrednost u string	Prebaci ceo broj u string.	0
PHP	2	2_convertIntToString9	konvertuj decimalnu vrednost u string	Konvertovanje u string.	1
PHP	3	3_Pqtest	prioritetni red	Implementacija prioritetnog reda sa \n poredjenjem prioriteta.	2
PHP	3	3_preferedMimeType	prioritetni red	Funkcija koja koristi prioritetni red da bi nasla koji mime formati su preferirani.	2
PHP	3	3_priorityLogger	prioritetni red	Klasa PriorityLogger nasledjuje prioritetni red.	2
PHP	3	3_priorityQueue	prioritetni red	Ispis svih elemenata prioritetnog reda.	2
PHP	3	3_priorityQueueMerge	prioritetni red	Spajanje dva prioritetna reda \n I njihov ispis.	2
PHP	3	3_pq1	prioritetni red	Ubaci u prioritetni red podatke izvucene iz zahteva.	2
PHP	3	3_pq2	prioritetni red	Uradi obradu zahteva po prioritetima.	0
PHP	3	3_pq3	prioritetni red	Varijable izvucene iz klijentskog zahteva ubaciti u prioritetni red.	2
PHP	3	3_pq4	prioritetni red	Izbrisati iz prioritetnog reda deset podataka.	2
PHP	3	3_pq5	prioritetni red	Obraditi podataka po prioritetima.	0
PHP	4	4_cancelSubscription	string u datum	Prekid pretplate na trenutni datum.	0
PHP	4	4_convertStringToDate1	string u datum	Konverzija string u datum.	3
PHP	4	4_dateDifference	string u datum	Racunanje razlike dva datuma.	0
PHP	4	4_subscribe	string u datum	Funkcija koja dodaje 30 dana na trenutni datum zbog subskripcije.	0
PHP	4	4_subscribe2Months	string u datum	Funkcija koja dodaje 60 dana na trenutni datum zbog subskripcije.	0
PHP	4	4_sud1	string u datum	Konverzija tipova u datum.	1
PHP	4	4_sud2	string u datum	Pretvori stringove primljene kao parametre zahteva u datume.	2
PHP	4	4_sud3	string u datum	"Od niza stringova, formiraj jedan konkatenirani string i probaj da ga pretvoris u datum."	2
PHP	4	4_sud4	string u datum	Uradi operaciju nad parovima stringova i pretvori rezultat u datum.	2
PHP	4	4_sud5	string u datum	"Podeli string da vise malih delova, i iz tih delova probaj da napravis datum."	2
PHP	5	5_obradaListe	sortiraj listu stringova	Ispisuje sortiranu listu stringova.	2
PHP	5	5_sabiraDveListe	sortiraj listu stringova	Sabira dve liste stringova.	0
PHP	5	5_sabiraTriListe	sortiraj listu stringova	Sabira tri liste stringova i vraca rezultat.	0
PHP	5	5_sortList	sortiraj listu stringova	Sortira listu stringova.	3
PHP	5	5_sortListCars	sortiraj listu stringova	Sortira listu automobila i vraca ih nazad.	2
PHP	5	5_spajaDveListeStringova	sortiraj listu stringova	Spaja dve sortirane liste stringova.	2
PHP	5	5_spajaTriListe	sortiraj listu stringova	Spaja tri sortirane liste stringova.	2
PHP	6	6_processListAndSave	cuvaj listu u fajl	Obrada liste i cuvanje u fajl.	2
PHP	6	6_saveList	cuvaj listu u fajl	Cuvaj listu u sql bazi podataka.	1
PHP	6	6_saveListMongo	cuvaj listu u fajl	Cuvaj listu u mongodb bazi podataka.	1
PHP	6	6_saveListToFile	cuvaj listu u fajl	Cuvaj listu u fajl.	3
PHP	6	6_saveListToMultipleFiles	cuvaj listu u fajl	Cuvaj listu u vise fajlova.	2
PHP	6	6_saveListF1	cuvaj listu u fajl	Sadrzaj dve liste kombinovane sacuvaj u okviru tekstualnog fajla.	2
PHP	6	6_saveListF2	cuvaj listu u fajl	Spoji par listi prosledjenih preko klijenstkoj zahteva i prodaj da ih sacuvas u txt fajlu.	2
PHP	6	6_saveListF3	cuvaj listu u fajl	Indeksiranu listu sacuvaj u fajlu.	2
PHP	6	6_saveListF4	cuvaj listu u fajl	Listu interno implementiranu kao jednostruku usnimiti u fajl.	2
PHP	6	6_saveListF5	cuvaj listu u fajl	Listu interno implementiranu kao dvostruko ulanacanu usnimiti u text fajl.	2
PHP	7	7_postgresql_konekcija	postgresql konekcija	Napravi postgresql konekciju.	3
PHP	7	7_PostgresqlClass	postgresql konekcija	Postgresql klasa koja sluzi za postgresql konekciju.	3
PHP	7	7_query	postgresql konekcija	ubacivanje u postgresql bazu podataka.	1
PHP	7	7_ubaci_u_bazu_1	postgresql konekcija	Napravi postgresql konekciju i vrati sve autore iz baze.	1
PHP	7	7_zatvori_postgresql_konekciju	postgresql konekcija	Zatvori postgresql konekciju.	3
PHP	8	8_commonMatrix	matrica zabune	Generisate random elemente za proizvoljnu matricu i ispisati ih na standardnom izlazu.	1
PHP	8	8_createConfusionMatrix	matrica zabune	Napravi matricu zabune.	3
PHP	8	8_deleteConfussionMatrix	matrica zabune	Obrisi matricu zabune.	3
PHP	8	8_readConfussionMatrix	matrica zabune	Dohvati element iz matrice zabune.	3
PHP	8	8_updateConfussionMatrix	matrica zabune	Dopuni matricu zabune.	3
PHP	8	8_cm1	matrica zabune	Ubaci u matricu implementiranu kao dvodimenzijalni niz novu vrednost.	0
PHP	8	8_cm2	matrica zabune	"Iz matrice implementirane preko dvodimenzijalnog niza, uklonoiti element na poziciji 3 3."	0
PHP	8	8_cm3	matrica zabune	Iz matrice dohvatiti samo prvi red i ispisati ga na standardnom izlazu.	0
PHP	8	8_cm4	matrica zabune	Vratiti elemente koji se nalazi na dijagonali matrice.	0
PHP	8	8_cm5	matrica zabune	Pre brisanja matrice zabune ispisi njene elemente.	2
PHP	9	9_changeWorkingDirectory	postavi radni direktorijum	Promeni radni direktorijum na novi url prosleden kao parametar.	2
PHP	9	9_directive	postavi radni direktorijum	Postavi radni direktorijum preko dirname direktive.	3
PHP	9	9_Factory	postavi radni direktorijum	Klasa fabrika u kojoj se dodaju novi proizvodi u radni direktorijum.	2
PHP	9	9_makeFolder	postavi radni direktorijum	Napravi novi folder u random direktorijumu.	1
PHP	9	9_setWorkingDirectory	postavi radni direktorijum	Postavi radni direktorijum na novi url.	3
PHP	10	10_fetchGroups	grupisi po broju	Dohvati starosne grupe zaposlenih ljudi u nekoj fabrici.	1
PHP	10	10_groupByClassNumber	grupisi po broju	Grupisi studente po broju odeljenja.	3
